strain	date	clade_membership	country	region	age	age_range1	age_range2	age_range3	collab_country	date_added	symptom	author	accession	url
EVD68/Homosapiens/VNM/VN3/2014	2014-07-11 (2014-01-01 - 2014-12-31)	B3	Vietnam	Southeast Asia			<18y	<18y		2019-07-15		Nguyen,N.N.	MF045415	
EVD68/Homosapiens/VNM/VN5/2014	2014-12-31 (2014-10-14 - 2014-12-31)	B3	Vietnam	Southeast Asia			<18y	<18y		2019-07-15		Nguyen,N.N.	MF045417	
CHN/CQ7174/2014	2014-09-18	B3	China	China	5.67	1-5y	<18y	<18y		2019-07-15		Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.	KT803598	
CHN/CQ7360/2014	2014-10-25	B3	China	China	10.67	6-17y	<18y	<18y		2019-07-15		Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.	KT803600	
TW-02809-2014	2014-09-11	B3	Taiwan	China	2	1-5y	<18y	<18y		2019-07-15		Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.	KT711087	
2014-R1153	2014-10-20	B3	China	China	8	6-17y	<18y	<18y		2019-07-15		Zhang,T.	KT280497	
TW-02795-2014	2014-09-10	B3	Taiwan	China	52	18-64y	18-64y	>=18y		2019-07-15		Gong,Y.N., Yang,S.L., Shih,S.R., Huang,Y.C., Chang,P.Y., Huang,C.G., Kao,K.C., Hu,H.C., Liu,Y.C. and Tsao,K.C.	KT711088	
V14-8151546	2014-07-23	B3	Hong Kong	China	5	1-5y	<18y	<18y		2019-07-15		Yip,C.C.Y., Lo,J.Y.C., Sridhar,S., Lung,D.C., Luk,S., Chan,K.H., Chan,J.F.W., Cheng,V.C.C., Woo,P.C.Y., Yuen,K.Y. and Lau,S.K.P.	KY767822	
2014-R1011	2014-10-20	B3	China	China	3	1-5y	<18y	<18y		2019-07-15		Zhang,T.	KT280498	
CHN/CQ7225/2014	2014-09-27	B3	China	China	4	1-5y	<18y	<18y		2019-07-15		Xiao,Q., Zheng,S., Wang,L., Ren,L. and Liu,E.	KT803599	
EV68_Alberta2985_2014	2014-09-02	B3	Canada	North America						2019-07-15		Pabbaraju,K., Wong,S., Zarra,D., Gill,K., Drews,S., Tipples,G. and Tellier,R.	KP114664	
