"","date","country","region","accession","accession_2","strain"
"194","2014-09-11","USA","North America","KT995556","KT995556.1","USA/LA/2014-19191"
"195","2014-09-15","USA","North America","KT995616","KT995616.1","USA/MI/2014-19251"
"196","2014-09-18","USA","North America","KT995609","KT995609.1","USA/VT/2014-19245"
"197","2014-09-12","USA","North America","KT995571","KT995571.1","USA/ND/2014-19205"
"198","2014-08-17","USA","North America","KT995536","KT995536.1","USA/OK/2014-19170"
"200","2014-09-30","USA","North America","KT995626","KT995626.1","USA/TX/2014-19261"
"201","2014-09-12","USA","North America","KT995603","KT995603.1","USA/SC/2014-19239"
"202","2014-09-14","USA","North America","KT995568","KT995568.1","USA/CT/2014-19202"
"203","2014-09-25","USA","North America","KP745765","KP745765.1","NY326"
"204","2014-11-15","USA","North America","KU669040","KU669040.1","USA/OR/2014-19268"
"205","2014-09-17","USA","North America","KU669047","KU669047.1","USA/AL/2014-19061"
"206","2014-09-18","USA","North America","KT995620","KT995620.1","USA/VA/2014-19255"
"207","2014-09-24","USA","North America","KT995618","KT995618.1","USA/WY/2014-19253"
"208","2014-11-08","USA","North America","KT347241","KT347241.1","EVD68/Homosapiens/USA/MO18/2014"
"209","2014-09-20","USA","North America","KT995607","KT995607.1","USA/MS/2014-19243"
"210","2014-09-10","USA","North America","KT995593","KT995593.1","USA/NC/2014-19229"
"211","2014-09-16","USA","North America","KT995606","KT995606.1","USA/WV/2014-19242"
"212","2014-09-22","USA","North America","KP745761","KP745761.1","NY305"
"213","2014-09-09","USA","North America","KT995563","KT995563.1","USA/DE/2014-19197"
"214","2014-09-01","USA","North America","KP100792","KP100792.1","US/CA/14-6092"
"215","2014-09-16","USA","North America","KT995594","KT995594.1","USA/CT/2014-19230"
"216","2014-09-23","USA","North America","KP745762","KP745762.1","NY309"
"217","2014-10-05","USA","North America","KT347273","KT347273.1","EVD68/Homosapiens/USA/MO42/2014"
"218","2014-08-04","USA","North America","KT347238","KT347238.1","EVD68/Homosapiens/USA/MO32/2014"
"219","2014-09-09","USA","North America","KT995553","KT995553.1","USA/NC/2014-19064"
"220","2014-09-24","USA","North America","KP745764","KP745764.1","NY316"
"223","2014-10-04","USA","North America","KP100796","KP100796.1","US/CA/14-6100"
"224","2014-10-04","USA","North America","KP100795","KP100795.1","US/CA/14-6103SIB"
"225","2014-10-16","USA","North America","MK681503","MK681503.1","USA/CA/2014-RGDS-1038"
"226","2014-10-02","USA","North America","MK681501","MK681501.1","USA/CA/2014-RGDS-1036"
"227","2014-09-30","USA","North America","MK681494","MK681494.1","USA/CA/2014-RGDS-1029"
"228","2014-10-01","USA","North America","MK681495","MK681495.1","USA/CA/2014-RGDS-1030"
"229","2014-09-12","USA","North America","KT995579","KT995579.1","USA/NJ/2014-19212"
"230","2014-08-01","USA","North America","KU669044","KU669044.1","USA/TX/2014-19083"
"231","2014-10-09","USA","North America","KT347244","KT347244.1","EVD68/Homosapiens/USA/MO3/2014"
