"","date","country","region","accession","accession_2","strain"
"155","2013-08-28","USA","North America","KX433156","KX433156.1","EV-D68/Homosapiens/USA/O3797/2013"
"156","2013-09-11","USA","North America","KX255368","KX255368.1","EV-D68/Homosapiens/USA/O4417/2013"
"157","2013-10-01","USA","North America","KX255384","KX255384.1","EV-D68/Homosapiens/USA/O4413/2013"
"158","2013-09-25","USA","North America","KX255406","KX255406.1","EV-D68/Homosapiens/USA/O4415/2013"
"159","2014-09-26","USA","North America","KX255375","KX255375.1","EV-D68/Homosapiens/USA/U5282/2014"
"160","2014-09-21","USA","North America","KX351794","KX351794.1","EV-D68/Homosapiens/USA/SSENT29/2014"
"161","2014-10-23","Mexico","North America","KT825142","KT825142.1","MEX/DF/2014-InDRE2351"
"162","2014-11-30","Canada","North America","KP455278","KP455278.1","CAN14-185"
"163","2014-09-12","USA","North America","KX255367","KX255367.1","EV-D68/Homosapiens/USA/C7732/2014"
"164","2014-06-06","USA","North America","KT995589","KT995589.1","USA/IA/2014-19225"
"165","2014-09-17","USA","North America","KX351823","KX351823.1","EV-D68/Homosapiens/USA/SSENT23/2014"
"166","2014-09-12","USA","North America","KT995575","KT995575.1","USA/CT/2014-19208"
"167","2014-09-29","USA","North America","KP745752","KP745752.1","NY124"
"168","2014-09-24","USA","North America","KP745763","KP745763.1","NY314"
"169","2014-09-18","USA","North America","KX351797","KX351797.1","EV-D68/Homosapiens/USA/SSENT11/2014"
"170","2014-09-30","USA","North America","MK681492","MK681492.1","USA/CA/2014-RGDS-1027"
"171","2014-10-26","Canada","North America","KP455276","KP455276.1","CAN14-455"
"172","2014-09-13","USA","North America","KT995567","KT995567.1","USA/CT/2014-19201"
"173","2014-08-22","USA","North America","KT995532","KT995532.1","USA/KY/2014-19167"
"174","2014-09-20","USA","North America","KX351795","KX351795.1","EV-D68/Homosapiens/USA/SSENT27/2014"
"175","2014-09-13","USA","North America","KX351798","KX351798.1","EV-D68/Homosapiens/USA/SSENT03/2014"
"176","2014-09-15","USA","North America","KT995605","KT995605.1","USA/AL/2014-19241"
"177","2014-09-30","USA","North America","MK681490","MK681490.1","USA/CA/2014-RGDS-1025"
"178","2014-09-25","USA","North America","KX255407","KX255407.1","EV-D68/Homosapiens/USA/C7743/2014"
"179","2014-09-28","USA","North America","KX433161","KX433161.1","EV-D68/Homosapiens/USA/C7791/2014"
"180","2014-07-06","USA","North America","KT347279","KT347279.1","EVD68/Homosapiens/USA/MO38/2014"
"181","2014-07-18","USA","North America","KT347236","KT347236.1","EVD68/Homosapiens/USA/MO39/2014"
"182","2014-09-09","USA","North America","KT347224","KT347224.1","EVD68/Homosapiens/USA/MO58/2014"
"183","2014-09-11","USA","North America","KT995570","KT995570.1","USA/MS/2014-19204"
"184","2014-09-19","USA","North America","KX351826","KX351826.1","EV-D68/Homosapiens/USA/SSENT26/2014"
"185","2014-09-14","USA","North America","KX351828","KX351828.1","EV-D68/Homosapiens/USA/SSENT04/2014"
"186","2014-09-17","USA","North America","KX351829","KX351829.1","EV-D68/Homosapiens/USA/SSENT14/2014"
"187","2014-09-17","USA","North America","KX351810","KX351810.1","EV-D68/Homosapiens/USA/SSENT19/2014"
"188","2014-07-11","Canada","North America","KP455264","KP455264.1","CAN14-330"
"189","2014-11-23","USA","North America","KT347260","KT347260.1","EVD68/Homosapiens/USA/MO11/2014"
"190","2014-09-08","USA","North America","KM881710","KM881710.1","EV-D68_STL_2014_12"
"191","2014-07-19","USA","North America","KT347249","KT347249.1","EVD68/Homosapiens/USA/MO16/2014"
"192","2014-08-31","USA","North America","KM851225","KM851225.1","US/MO/14-18947"
"193","2014-09-24","USA","North America","KT995613","KT995613.1","USA/NC/2014-19248"
"194","2014-10-09","USA","North America","KT347251","KT347251.1","EVD68/Homosapiens/USA/MO47/2014"
"195","2014-10-16","USA","North America","KT347263","KT347263.1","EVD68/Homosapiens/USA/MO28/2014"
"196","2014-08-18","Canada","North America","KP114662","KP114662.1","EV68_Alberta17390_2014"
"197","2014-08-29","USA","North America","KT995535","KT995535.1","USA/AL/2014-19169"
"198","2014-10-19","Canada","North America","KP455277","KP455277.1","CAN14-869"
"199","2014-09-06","USA","North America","KT995550","KT995550.1","USA/MT/2014-19216"
"200","2014-08-14","USA","North America","KX255364","KX255364.1","EV-D68/Homosapiens/USA/C7722/2014"
"201","2014-08-16","USA","North America","KX255373","KX255373.1","EV-D68/Homosapiens/USA/C7723/2014"
